Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
2023-01-01T22:15:00+00:00;01;01;2023;2023-01-01;22:15;934966.149023;234136.3805;140936.7507;28769.2315;1338808.511723
2023-01-02T12:30:00+00:00;02;01;2023;2023-01-02;12:30;931941.896037;459171.1502;156169.5423;46683.165;1593965.7535370002
2023-01-03T12:45:00+00:00;03;01;2023;2023-01-03;12:45;926626.792231;527916.3406;183103.3727;78441.4873;1716087.992831
2023-01-03T15:30:00+00:00;03;01;2023;2023-01-03;15:30;853390.794825;609471.312;190925.5341;63209.5923;1716997.233225
2023-01-04T05:45:00+00:00;04;01;2023;2023-01-04;05:45;594574.80386;378070.22;185437.9885;84820.2462;1242903.25856
2023-01-05T17:00:00+00:00;05;01;2023;2023-01-05;17:00;912653.914085;637753.4144;195295.1483;41362.2659;1787064.742685
2023-01-06T15:15:00+00:00;06;01;2023;2023-01-06;15:15;942007.728519;628897.3191;198805.118;42779.8223;1812489.987919
2023-01-07T04:30:00+00:00;07;01;2023;2023-01-07;04:30;614312.712182;331651.2361;186958.4988;80341.306;1213263.7530820002
2023-01-09T07:00:00+00:00;09;01;2023;2023-01-09;07:00;650180.237936;403563.0261;186784.9899;94851.2411;1335379.495036
2023-01-09T12:30:00+00:00;09;01;2023;2023-01-09;12:30;934521.51785;577190.0099;174539.9841;74042.0001;1760293.51195
2023-01-10T16:45:00+00:00;10;01;2023;2023-01-10;16:45;928164.788746;665522.5909;184662.6965;44906.1566;1823256.2327460002
2023-01-10T23:15:00+00:00;10;01;2023;2023-01-10;23:15;910129.421806;428000.8893;186037.8795;87671.0441;1611839.2347060002
2023-01-11T09:15:00+00:00;11;01;2023;2023-01-11;09:15;866962.833152;662348.5013;198196.275;88809.8986;1816317.5080519998
2023-01-13T01:30:00+00:00;13;01;2023;2023-01-13;01:30;658199.506246;394977.2363;195414.4894;82981.0214;1331572.253346
2023-01-14T09:00:00+00:00;14;01;2023;2023-01-14;09:00;771007.266182;380901.5975;182905.0415;80018.5997;1414832.504882
2023-01-16T18:00:00+00:00;16;01;2023;2023-01-16;18:00;1124468.487696;599682.2335;215142.9805;47703.2988;1986997.000496
2023-01-17T06:30:00+00:00;17;01;2023;2023-01-17;06:30;643212.158809;433971.1706;204381.6484;87423.7672;1368988.745009
2023-01-17T10:30:00+00:00;17;01;2023;2023-01-17;10:30;976181.954425;673409.5687;191381.2998;86659.1851;1927632.0080249999
2023-01-18T15:00:00+00:00;18;01;2023;2023-01-18;15:00;985611.984946;654719.6454;208875.9433;88166.9357;1937374.5093460002
2023-01-19T09:45:00+00:00;19;01;2023;2023-01-19;09:45;1018133.5572;695031.2332;211328.827;96123.1336;2020616.7510000002
2023-01-19T20:45:00+00:00;19;01;2023;2023-01-19;20:45;1414006.416664;507354.9286;208427.7504;42079.632;2171868.727664
2023-01-20T10:45:00+00:00;20;01;2023;2023-01-20;10:45;993045.648685;662436.1278;206734.0107;86441.4484;1948657.235585
2023-01-20T11:00:00+00:00;20;01;2023;2023-01-20;11:00;998701.65659;661527.9381;204050.4842;88051.6867;1952331.7655900002
2023-01-21T03:00:00+00:00;21;01;2023;2023-01-21;03:00;625452.531655;341493.2714;192676.7594;79713.6871;1239336.249555
2023-01-21T12:30:00+00:00;21;01;2023;2023-01-21;12:30;963061.570877;340956.3588;179725.8808;88026.9522;1571770.762677
2023-01-21T14:45:00+00:00;21;01;2023;2023-01-21;14:45;875493.605541;327296.6591;185772.1465;88320.3263;1476882.737441
2023-01-23T00:30:00+00:00;23;01;2023;2023-01-23;00:30;772974.31762;299965.2009;193055.77;85925.4463;1351920.73482
2023-01-25T06:30:00+00:00;25;01;2023;2023-01-25;06:30;713435.395244;448381.2222;195055.7426;82388.6386;1439260.998644
2023-01-26T04:15:00+00:00;26;01;2023;2023-01-26;04:15;648420.223895;388125.6087;193900.5095;67651.3976;1298097.739695
2023-01-26T21:45:00+00:00;26;01;2023;2023-01-26;21:45;1387862.51057;487714.8463;206094.4027;48385.4978;2130057.25737
2023-01-27T08:15:00+00:00;27;01;2023;2023-01-27;08:15;948742.450948;615009.0556;213092.8766;86668.376;1863512.759148
2023-01-28T22:30:00+00:00;28;01;2023;2023-01-28;22:30;1212265.97627;314164.2735;182915.3491;61213.4176;1770559.0164700001
2023-01-29T10:00:00+00:00;29;01;2023;2023-01-29;10:00;907455.514669;287274.6318;178246.0786;83218.7861;1456195.0111689998
2023-01-30T07:30:00+00:00;30;01;2023;2023-01-30;07:30;841644.359681;467955.7455;208291.7205;83017.4097;1600909.235381
2023-01-30T16:30:00+00:00;30;01;2023;2023-01-30;16:30;973621.999392;647118.635;201296.9848;48658.3772;1870695.996392
2023-02-02T06:00:00+00:00;02;02;2023;2023-02-02;06:00;668904.275107;409148.5042;202447.6738;76456.5525;1356957.005607
2023-02-03T01:15:00+00:00;03;02;2023;2023-02-03;01:15;765951.930629;402119.4812;195939.7707;71748.304;1435759.4865289999
2023-02-06T08:45:00+00:00;06;02;2023;2023-02-06;08:45;906014.300787;625336.499;208969.5721;72821.889;1813142.2608869998
2023-02-10T10:30:00+00:00;10;02;2023;2023-02-10;10:30;954034.305767;627904.3156;198306.944;48747.6908;1828993.256167
2023-02-16T04:15:00+00:00;16;02;2023;2023-02-16;04:15;549026.753207;382003.6771;203722.7666;50830.5511;1185583.748007
2023-02-17T01:30:00+00:00;17;02;2023;2023-02-17;01:30;621711.035945;394492.5901;212556.732;57824.3882;1286584.746245
2023-02-17T10:00:00+00:00;17;02;2023;2023-02-17;10:00;847424.350519;617182.545;208341.919;61397.6833;1734346.497819
2023-02-18T20:30:00+00:00;18;02;2023;2023-02-18;20:30;1097658.185903;337551.3804;196128.8044;83176.1253;1714514.4960029998
2023-02-21T23:45:00+00:00;21;02;2023;2023-02-21;23:45;742149.121615;315790.8962;193368.5489;78032.9273;1329341.494015
