Ano;Mês;Data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;Código Distrito;Código Concelho;Código Freguesia;Contrato Ativo
2024;5;2024-05;Vila Real;Ribeira de Pena;Alvadia;Sim;155;17;1709;170901;Sim
2024;5;2024-05;Bragança;Mogadouro;Travanca;Não;15;04;0408;040820;Sim
2024;5;2024-05;Portalegre;Ponte de Sor;Montargil;Não;475;12;1213;121302;Sim
2024;5;2024-05;Viseu;Santa Comba Dão;Santa Comba Dão e Couto do Mosteiro;Sim;3141;18;1814;181411;Sim
2024;5;2024-05;Portalegre;Arronches;Assunção;Sim;1248;12;1202;120201;Sim
2024;5;2024-05;Santarém;Tomar;Asseiceira;Sim;1549;14;1418;141802;Sim
2024;5;2024-05;Coimbra;Mira;Carapelhos;Sim;488;06;0608;060803;Sim
2024;5;2024-05;Guarda;Celorico da Beira;Prados;Sim;221;09;0903;090312;Sim
2024;5;2024-05;Viana do Castelo;Paredes de Coura;Agualonga;Sim;175;16;1605;160501;Sim
2024;5;2024-05;Beja;Odemira;Relíquias;Sim;334;02;0211;021102;Sim
2024;5;2024-05;Bragança;Macedo de Cavaleiros;Talhinhas e Bagueixe;Sim;319;04;0405;040544;Sim
2024;5;2024-05;Coimbra;Condeixa-a-Nova;Zambujal;Não;1;06;0604;060410;Sim
2024;5;2024-05;Bragança;Vila Flor;Santa Comba de Vilariça;Não;19;04;0410;041012;Sim
2024;5;2024-05;Viana do Castelo;Melgaço;Cousso;Não;96;16;1603;160304;Sim
2024;5;2024-05;Castelo Branco;Proença-a-Nova;Sobreira Formosa e Alvito da Beira;Sim;1525;05;0508;050808;Sim
2024;5;2024-05;Guarda;Trancoso;Rio de Mel;Sim;186;09;0913;091316;Sim
2024;5;2024-05;Braga;Barcelos;Tamel (São Veríssimo);Sim;1353;03;0302;030277;Sim
2024;5;2024-05;Beja;Moura;Amareleja;Não;63;02;0210;021001;Sim
2024;5;2024-05;Bragança;Vinhais;Edral;Sim;151;04;0412;041206;Sim
2024;5;2024-05;Porto;Paços de Ferreira;Raimonda;Sim;1069;13;1309;130914;Sim
2024;5;2024-05;Vila Real;Murça;Murça;Sim;1346;17;1707;170705;Sim
2024;5;2024-05;Guarda;Seia;Sazes da Beira;Não;107;09;0912;091219;Sim
2024;5;2024-05;Braga;Barcelos;Vila Cova e Feitos;Não;196;03;0302;0302FH;Sim
2024;5;2024-05;Braga;Barcelos;Vila Seca;Sim;342;03;0302;030287;Sim
2024;5;2024-05;Viseu;Sátão;Mioma;Não;14;18;1817;181706;Sim
2024;5;2024-05;Coimbra;Tábua;Póvoa de Midões;Não;14;06;0616;061611;Sim
2024;5;2024-05;Lisboa;Torres Vedras;Ramalhal;Não;594;11;1113;111311;Sim
2024;5;2024-05;Lisboa;Cadaval;Alguber;Sim;552;11;1104;110401;Sim
2024;5;2024-05;Viana do Castelo;Monção;Ceivães e Badim;Sim;521;16;1604;160435;Sim
2024;5;2024-05;Santarém;Santarém;Casével e Vaqueiros;Sim;444;14;1416;141631;Sim
2024;5;2024-05;Guarda;Sabugal;Alfaiates;Sim;594;09;0911;091107;Sim
2024;5;2024-05;Coimbra;Tábua;Pinheiro de Coja e Meda de Mouros;Sim;166;06;0616;061619;Sim
2024;5;2024-05;Braga;Póvoa de Lanhoso;Ferreiros;Sim;176;03;0309;030908;Sim
2024;5;2024-05;Bragança;Bragança;Macedo do Mato;Sim;147;04;0402;040221;Sim
2024;5;2024-05;Viseu;Tondela;Tondela e Nandufe;Sim;3723;18;1821;182132;Sim
2024;5;2024-05;Leiria;Porto de Mós;Mira de Aire;Sim;2285;10;1016;101608;Sim
2024;5;2024-05;Viseu;Penalva do Castelo;Vila Cova do Covelo/Mareco;Sim;309;18;1811;181115;Sim
2024;5;2024-05;Portalegre;Fronteira;Fronteira;Sim;1348;12;1208;120802;Sim
2024;5;2024-05;Beja;Mértola;Mértola;Sim;2380;02;0209;020904;Sim
2024;5;2024-05;Braga;Vila Nova de Famalicão;Riba de Ave;Sim;1690;03;0312;031234;Sim
2024;5;2024-05;Leiria;Ansião;Pousaflores;Sim;798;10;1003;100306;Sim
2024;5;2024-05;Bragança;Vinhais;Curopos e Vale de Janeiro;Não;38;04;0412;041236;Sim
2024;5;2024-05;Porto;Penafiel;Castelões;Não;44;13;1311;131107;Sim
2024;5;2024-05;Porto;Maia;Cidade da Maia;Sim;21275;13;1306;130619;Sim
2024;5;2024-05;Lisboa;Azambuja;Azambuja;Sim;4514;11;1103;110304;Sim
2024;5;2024-05;Leiria;Óbidos;Santa Maria, São Pedro e Sobral da Lagoa;Sim;2775;10;1012;101210;Sim
2024;5;2024-05;Viseu;Moimenta da Beira;Sever;Sim;383;18;1807;180719;Sim
2024;5;2024-05;Vila Real;Ribeira de Pena;Salvador e Santo Aleixo de Além-Tâmega;Sim;2184;17;1709;170909;Sim
