Distrito;Radiação Solar Média (W/m²);Humidade Relativa Média (%);Índice UV Médio;Temperatura Média (°C);Precipitação Total (mm)
Santarém;359.46;88.4;1.89;76.13;7.52
Braga;345.48;75.27;1.92;55.71;0.84
Bragança;363.56;95.18;1.98;75.72;13.5
Castelo Branco;395.0;75.0;2.13;56.17;1.49
Coimbra;379.06;78.35;2.09;56.9;1.66
Lisboa;427.45;72.41;2.37;59.01;0.61
Portalegre;394.19;76.38;2.1;55.14;1.14
Porto;360.32;73.51;2.01;57.21;0.95
Guarda;391.81;73.9;2.12;50.69;1.84
Leiria;380.54;80.85;2.11;56.36;1.58
Viana do Castelo;354.07;76.07;1.97;56.07;0.56
Vila Real;369.23;67.46;2.05;54.15;0.61
Viseu;364.19;75.45;2.03;53.7;1.65
Évora;400.18;79.64;2.19;55.58;1.24
Faro;435.18;77.54;2.37;59.51;0.75
Aveiro;381.47;81.6;2.12;56.81;1.2
Beja;421.21;78.12;2.31;57.76;0.84
Setúbal;428.27;77.19;2.38;58.2;0.53
