Trimestre;Distrito;Concelho;Freguesias;Escalão de potência instalada (kW);Número de instalacões;Potência total instalada UPAC (kW);Código Distrito;Código Concelho;Código Freguesia
2023T3;Santarém;Constância;Montalvo;]30, 1000];2;860.0;14;1408;140802
2023T3;Santarém;Coruche;Couço;]30, 1000];1;37.8;14;1409;140902
2023T3;Santarém;Entroncamento;Nossa Senhora de Fátima;]30, 1000];6;1338.14;14;1410;141002
2023T3;Santarém;Ferreira do Zêzere;Igreja Nova do Sobral;]30, 1000];1;80.0;14;1411;141107
2023T3;Santarém;Ferreira do Zêzere;Nossa Senhora do Pranto;]30, 1000];1;291.46;14;1411;141110
2023T3;Santarém;Golegã;Azinhaga;]30, 1000];4;350.16;14;1412;141201
2023T3;Santarém;Golegã;Golegã;]30, 1000];6;848.97;14;1412;141202
2023T3;Santarém;Mação;Cardigos;]30, 1000];2;113.32;14;1413;141303
2023T3;Santarém;Mação;Carvoeiro;]30, 1000];1;35.0;14;1413;141304
2023T3;Santarém;Mação;Mação, Penhascoso e Aboboreira;]30, 1000];2;423.12;14;1413;141309
2023T3;Santarém;Santarém;Alcanede;]30, 1000];5;1665.2;14;1416;141604
2023T3;Santarém;Santarém;Almoster;]30, 1000];2;98.48;14;1416;141606
2023T3;Santarém;Santarém;Casével e Vaqueiros;]30, 1000];1;100.0;14;1416;141631
2023T3;Santarém;Santarém;Romeira e Várzea;]30, 1000];6;2837.25;14;1416;141632
2023T3;Santarém;Santarém;União das freguesias da cidade de Santarém;]30, 1000];6;865.35;14;1416;141633
2023T3;Santarém;Tomar;Asseiceira;]30, 1000];4;570.63;14;1418;141802
2023T3;Santarém;Torres Novas;Chancelaria;]30, 1000];1;108.0;14;1419;141904
2023T3;Braga;Barcelos;Carvalhal;]4, 20.7];5;66.2;03;0302;030220
2023T3;Braga;Barcelos;Cossourado;]4, 20.7];2;27.55;03;0302;030224
2023T3;Braga;Barcelos;Cristelo;]4, 20.7];1;15.0;03;0302;030228
