Data/Hora;Dia;Mês;Ano;Data;Hora;Mercado (kWh);Regime Especial (kWh);Total (kWh)
2023-01-01T03:15:00+00:00;01;01;2023;2023-01-01;03:15;-76872.0;1084451.0;1007579.0
2023-01-03T05:45:00+00:00;03;01;2023;2023-01-03;05:45;930217.0;245178.0;1175395.0
2023-01-03T06:00:00+00:00;03;01;2023;2023-01-03;06:00;949319.0;245800.0;1195119.0
2023-01-03T14:30:00+00:00;03;01;2023;2023-01-03;14:30;1499702.0;228330.25;1728032.25
2023-01-04T12:30:00+00:00;04;01;2023;2023-01-04;12:30;1565852.0;214525.0;1780377.0
2023-01-05T09:30:00+00:00;05;01;2023;2023-01-05;09:30;1621649.0;255549.5;1877198.5
2023-01-05T15:30:00+00:00;05;01;2023;2023-01-05;15:30;1587015.0;158626.25;1745641.25
2023-01-06T21:45:00+00:00;06;01;2023;2023-01-06;21:45;1125235.0;755729.75;1880964.75
2023-01-07T04:45:00+00:00;07;01;2023;2023-01-07;04:45;187191.0;1012886.0;1200077.0
2023-01-07T07:00:00+00:00;07;01;2023;2023-01-07;07:00;137425.0;1109576.5;1247001.5
2023-01-07T17:15:00+00:00;07;01;2023;2023-01-07;17:15;639054.0;1056055.0;1695109.0
2023-01-07T18:15:00+00:00;07;01;2023;2023-01-07;18:15;802486.0;1014442.25;1816928.25
2023-01-07T20:00:00+00:00;07;01;2023;2023-01-07;20:00;904593.0;944393.25;1848986.25
2023-01-07T20:15:00+00:00;07;01;2023;2023-01-07;20:15;924739.0;934254.75;1858993.75
2023-01-08T02:30:00+00:00;08;01;2023;2023-01-08;02:30;93621.0;1078271.5;1171892.5
2023-01-08T22:30:00+00:00;08;01;2023;2023-01-08;22:30;647273.0;912490.25;1559763.25
2023-01-09T03:00:00+00:00;09;01;2023;2023-01-09;03:00;365587.0;774028.25;1139615.25
2023-01-09T03:30:00+00:00;09;01;2023;2023-01-09;03:30;357206.0;759402.0;1116608.0
2023-01-09T14:15:00+00:00;09;01;2023;2023-01-09;14:15;1469980.0;249579.0;1719559.0
2023-01-09T18:45:00+00:00;09;01;2023;2023-01-09;18:45;1633816.0;266689.5;1900505.5
2023-01-09T23:45:00+00:00;09;01;2023;2023-01-09;23:45;1276545.0;223294.0;1499839.0
2023-01-10T11:00:00+00:00;10;01;2023;2023-01-10;11:00;1432407.0;437018.0;1869425.0
2023-01-10T19:15:00+00:00;10;01;2023;2023-01-10;19:15;1425195.0;558083.5;1983278.5
2023-01-10T22:15:00+00:00;10;01;2023;2023-01-10;22:15;1167275.0;596188.5;1763463.5
2023-01-11T00:45:00+00:00;11;01;2023;2023-01-11;00:45;740600.0;649729.25;1390329.25
2023-01-11T01:00:00+00:00;11;01;2023;2023-01-11;01:00;705487.0;650453.5;1355940.5
2023-01-11T01:15:00+00:00;11;01;2023;2023-01-11;01:15;689096.0;641891.0;1330987.0
2023-01-11T01:45:00+00:00;11;01;2023;2023-01-11;01:45;622995.0;665232.5;1288227.5
2023-01-11T04:15:00+00:00;11;01;2023;2023-01-11;04:15;543848.0;672366.0;1216214.0
2023-01-11T10:00:00+00:00;11;01;2023;2023-01-11;10:00;1198946.0;608402.25;1807348.25
2023-01-11T10:45:00+00:00;11;01;2023;2023-01-11;10:45;1173343.0;612258.0;1785601.0
2023-01-11T11:30:00+00:00;11;01;2023;2023-01-11;11:30;1187724.0;589542.75;1777266.75
2023-01-11T21:30:00+00:00;11;01;2023;2023-01-11;21:30;1621308.0;270202.75;1891510.75
2023-01-11T22:45:00+00:00;11;01;2023;2023-01-11;22:45;1418887.0;274694.75;1693581.75
2023-01-12T07:30:00+00:00;12;01;2023;2023-01-12;07:30;1376312.0;174719.5;1551031.5
2023-01-12T08:15:00+00:00;12;01;2023;2023-01-12;08:15;1511159.0;196191.25;1707350.25
2023-01-12T16:45:00+00:00;12;01;2023;2023-01-12;16:45;1524608.0;292060.25;1816668.25
2023-01-12T20:15:00+00:00;12;01;2023;2023-01-12;20:15;1670649.0;382164.5;2052813.5
2023-01-12T21:45:00+00:00;12;01;2023;2023-01-12;21:45;1495786.0;377740.75;1873526.75
2023-01-12T23:15:00+00:00;12;01;2023;2023-01-12;23:15;1290908.0;358969.5;1649877.5
2023-01-14T03:00:00+00:00;14;01;2023;2023-01-14;03:00;881796.0;341261.5;1223057.5
2023-01-14T03:15:00+00:00;14;01;2023;2023-01-14;03:15;857255.0;353317.0;1210572.0
2023-01-15T02:00:00+00:00;15;01;2023;2023-01-15;02:00;359753.0;830112.25;1189865.25
2023-01-16T01:00:00+00:00;16;01;2023;2023-01-16;01:00;117316.0;1155524.5;1272840.5
2023-01-16T06:00:00+00:00;16;01;2023;2023-01-16;06:00;7976.0;1193569.25;1201545.25
2023-01-16T09:30:00+00:00;16;01;2023;2023-01-16;09:30;633700.0;1228392.0;1862092.0
2023-01-16T18:45:00+00:00;16;01;2023;2023-01-16;18:45;803939.0;1252978.25;2056917.25
2023-01-16T20:15:00+00:00;16;01;2023;2023-01-16;20:15;852410.0;1244098.25;2096508.25
2023-01-17T00:00:00+00:00;17;01;2023;2023-01-17;00:00;300368.0;1241368.25;1541736.25
2023-01-17T05:15:00+00:00;17;01;2023;2023-01-17;05:15;60271.0;1213893.75;1274164.75
2023-01-17T08:30:00+00:00;17;01;2023;2023-01-17;08:30;525092.0;1268673.75;1793765.75
2023-01-17T19:45:00+00:00;17;01;2023;2023-01-17;19:45;1036369.0;1153036.25;2189405.25
2023-01-18T00:00:00+00:00;18;01;2023;2023-01-18;00:00;565524.0;971794.25;1537318.25
2023-01-18T10:00:00+00:00;18;01;2023;2023-01-18;10:00;1252355.0;709747.75;1962102.75
2023-01-19T08:30:00+00:00;19;01;2023;2023-01-19;08:30;1314647.0;555918.5;1870565.5
2023-01-20T13:15:00+00:00;20;01;2023;2023-01-20;13:15;1121026.0;741732.5;1862758.5
2023-01-20T13:30:00+00:00;20;01;2023;2023-01-20;13:30;1103513.0;755146.75;1858659.75
2023-01-21T04:15:00+00:00;21;01;2023;2023-01-21;04:15;524889.0;683755.25;1208644.25
2023-01-22T02:15:00+00:00;22;01;2023;2023-01-22;02:15;443701.0;729190.5;1172891.5
2023-01-22T11:00:00+00:00;22;01;2023;2023-01-22;11:00;843034.0;571809.75;1414843.75
2023-01-28T12:00:00+00:00;28;01;2023;2023-01-28;12:00;1001085.0;634205.0;1635290.0
2023-01-29T10:30:00+00:00;29;01;2023;2023-01-29;10:30;529875.0;959460.75;1489335.75
2023-01-30T09:45:00+00:00;30;01;2023;2023-01-30;09:45;1298962.0;677059.5;1976021.5
2023-01-31T05:15:00+00:00;31;01;2023;2023-01-31;05:15;1077176.0;239226.5;1316402.5
2023-01-31T15:15:00+00:00;31;01;2023;2023-01-31;15:15;1637922.0;211798.75;1849720.75
2023-01-31T18:30:00+00:00;31;01;2023;2023-01-31;18:30;1845662.0;266806.25;2112468.25
2023-02-01T08:45:00+00:00;01;02;2023;2023-02-01;08:45;1379540.0;567026.0;1946566.0
2023-02-01T15:45:00+00:00;01;02;2023;2023-02-01;15:45;1545253.0;296981.75;1842234.75
2023-02-02T00:30:00+00:00;02;02;2023;2023-02-02;00:30;876163.0;681630.0;1557793.0
2023-02-02T14:15:00+00:00;02;02;2023;2023-02-02;14:15;1557169.0;261338.75;1818507.75
2023-02-02T19:15:00+00:00;02;02;2023;2023-02-02;19:15;1926243.0;250459.75;2176702.75
2023-02-03T11:00:00+00:00;03;02;2023;2023-02-03;11:00;1663166.0;232983.25;1896149.25
2023-02-04T04:30:00+00:00;04;02;2023;2023-02-04;04:30;931724.0;298727.75;1230451.75
2023-02-04T05:15:00+00:00;04;02;2023;2023-02-04;05:15;942685.0;288037.5;1230722.5
2023-02-04T12:45:00+00:00;04;02;2023;2023-02-04;12:45;1313123.0;222527.0;1535650.0
2023-02-05T00:30:00+00:00;05;02;2023;2023-02-05;00:30;819683.0;580783.25;1400466.25
2023-02-05T02:30:00+00:00;05;02;2023;2023-02-05;02:30;565732.0;644477.25;1210209.25
2023-02-05T21:30:00+00:00;05;02;2023;2023-02-05;21:30;917115.0;852139.0;1769254.0
2023-02-06T00:45:00+00:00;06;02;2023;2023-02-06;00:45;633409.0;674708.75;1308117.75
2023-02-07T10:15:00+00:00;07;02;2023;2023-02-07;10:15;1232786.0;613341.5;1846127.5
2023-02-07T20:15:00+00:00;07;02;2023;2023-02-07;20:15;1686941.0;465675.0;2152616.0
2023-02-08T08:00:00+00:00;08;02;2023;2023-02-08;08:00;672388.0;1003332.5;1675720.5
2023-02-08T18:00:00+00:00;08;02;2023;2023-02-08;18:00;1072471.0;885602.0;1958073.0
2023-02-08T19:00:00+00:00;08;02;2023;2023-02-08;19:00;1227510.0;911492.0;2139002.0
2023-02-09T10:45:00+00:00;09;02;2023;2023-02-09;10:45;1105402.0;706914.0;1812316.0
2023-02-09T13:30:00+00:00;09;02;2023;2023-02-09;13:30;1152602.0;543609.5;1696211.5
2023-02-09T15:15:00+00:00;09;02;2023;2023-02-09;15:15;1296313.0;398335.25;1694648.25
2023-02-10T16:00:00+00:00;10;02;2023;2023-02-10;16:00;930920.0;855707.0;1786627.0
2023-02-11T12:00:00+00:00;11;02;2023;2023-02-11;12:00;568401.0;976259.25;1544660.25
2023-02-11T12:30:00+00:00;11;02;2023;2023-02-11;12:30;627918.0;935154.25;1563072.25
2023-02-12T01:00:00+00:00;12;02;2023;2023-02-12;01:00;406293.0;913894.25;1320187.25
2023-02-12T06:15:00+00:00;12;02;2023;2023-02-12;06:15;283424.0;850291.0;1133715.0
2023-02-12T19:00:00+00:00;12;02;2023;2023-02-12;19:00;1136377.0;633245.75;1769622.75
2023-02-13T02:15:00+00:00;13;02;2023;2023-02-13;02:15;443125.0;757648.5;1200773.5
2023-02-13T04:15:00+00:00;13;02;2023;2023-02-13;04:15;400238.0;756509.25;1156747.25
2023-02-13T05:15:00+00:00;13;02;2023;2023-02-13;05:15;408862.0;761768.5;1170630.5
2023-02-14T02:00:00+00:00;14;02;2023;2023-02-14;02:00;543737.0;743261.0;1286998.0
2023-02-14T02:30:00+00:00;14;02;2023;2023-02-14;02:30;517105.0;743505.25;1260610.25
2023-02-14T22:00:00+00:00;14;02;2023;2023-02-14;22:00;956832.0;873492.75;1830324.75
2023-02-15T06:30:00+00:00;15;02;2023;2023-02-15;06:30;560017.0;775004.0;1335021.0
2023-02-15T13:15:00+00:00;15;02;2023;2023-02-15;13:15;1274957.0;408365.75;1683322.75
2023-02-16T07:30:00+00:00;16;02;2023;2023-02-16;07:30;1129128.0;386481.0;1515609.0
2023-02-17T10:15:00+00:00;17;02;2023;2023-02-17;10:15;846429.0;860068.0;1706497.0
2023-02-18T01:45:00+00:00;18;02;2023;2023-02-18;01:45;473009.0;789830.25;1262839.25
2023-02-18T04:15:00+00:00;18;02;2023;2023-02-18;04:15;379997.0;780333.0;1160330.0
2023-02-19T05:00:00+00:00;19;02;2023;2023-02-19;05:00;646228.0;411117.75;1057345.75
2023-02-19T18:15:00+00:00;19;02;2023;2023-02-19;18:15;1142274.0;243055.75;1385329.75
2023-02-20T12:30:00+00:00;20;02;2023;2023-02-20;12:30;1318254.0;357377.25;1675631.25
2023-08-13T04:45:00+01:00;13;08;2023;2023-08-13;04:45;588938.0;459225.75;1048163.75
2023-08-13T10:00:00+01:00;13;08;2023;2023-08-13;10:00;773618.0;368182.0;1141800.0
2023-08-13T13:15:00+01:00;13;08;2023;2023-08-13;13:15;885915.0;336269.5;1222184.5
2023-08-14T08:15:00+01:00;14;08;2023;2023-08-14;08:15;850463.0;344795.25;1195258.25
2023-08-14T09:00:00+01:00;14;08;2023;2023-08-14;09:00;919851.0;346605.25;1266456.25
